id,smiles,target_property
mol_119,Clc1ccccc1c2ccccc2,-4.54
mol_120,CCCC(=C)C,-3.03
mol_121,CC(C)C(C)C(C)C,-4.8
mol_122,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65
mol_123,Oc1cccc(c1)N(=O)=O,-1.01
mol_124,CCCCCCCCC=C,-5.51
mol_125,CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6
mol_126,CCCCc1c(C)nc(nc1O)N(C)C ,-2.24
mol_127,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337000000000001
mol_128,c1ccncc1,0.76
mol_129,CCCCCCCBr,-4.43
mol_130,Cc1ccncc1C,0.36
mol_131,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,-3.43
mol_132,CCSCc1ccccc1OC(=O)NC ,-2.09
mol_133,CCOC(=O)CC(=O)OCC,-0.82
mol_134,CC1=CCC(CC1)C(C)=C,-4.26
mol_135,C1Cc2ccccc2C1,-3.04
mol_136,CC(C)(C)c1ccc(O)cc1,-2.41
mol_137,O=C2NC(=O)C1(CC1)C(=O)N2 ,-1.886
mol_138,Clc1cccc(I)c1,-3.55
mol_139,Brc1cccc2ccccc12,-4.35
mol_140,CC/C=C/C,-2.54
mol_141,Cc1cccc(C)n1,0.45
mol_142,ClC=C(Cl)Cl,-1.96
mol_143,Nc1cccc2ccccc12,-1.92
mol_144,Cc1cccc(C)c1,-2.82
mol_145,Oc2ncc1nccnc1n2,-1.947
mol_146,CO,1.57
mol_147,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468
mol_148,CCC(=O)C,0.52
mol_149,Fc1c[nH]c(=O)[nH]c1=O ,-1.077
mol_150,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,-1.95
mol_151,Oc1cccc(O)c1,0.81
mol_152,CCCCCCO,-1.24
mol_153,CCCCCCl,-2.73
mol_154,C=CC=C,-1.87
mol_155,CCCOC(=O)C,-0.72
mol_156,Oc2ccc1CCCCc1c2 ,-1.99
mol_157,NC(=O)CCl ,-0.02
mol_158,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62
mol_159,Cc1ccc(Cl)cc1,-3.08
mol_160,CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253
mol_161,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,-6.01
mol_162,CCCCCC=O,-1.3
mol_163,CCCCOC(=O)c1ccc(N)cc1,-3.082
mol_164,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,-3.043
mol_165,CC(C)=CCC/C(C)=C\CO,-2.46
mol_166,Clc1ccc(cc1)c2ccccc2Cl ,-5.28
mol_167,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523
mol_168,CCN(=O)=O,-0.22
mol_169,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-6.124
mol_170,Clc1ccc(Cl)c(Cl)c1Cl,-4.57
mol_171,CCCC(C)(COC(N)=O)COC(N)=O ,-1.807
mol_172,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,-4.65
mol_173,CI,-1.0
mol_174,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-1.13
mol_175,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301
mol_176,CC1=CC(=O)CC(C)(C)C1 ,-1.06
mol_177,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.39
mol_178,CCCCC(=O)CCCC,-2.58
mol_179,CCC1(CCC(=O)NC1=O)c2ccccc2 ,-2.337
mol_180,CCC(C)CC,-3.68
mol_181,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,-8.6
mol_182,Cc1ccccc1n3c(C)nc2ccccc2c3=O,-2.925
mol_183,ClCC#N,-0.092
mol_184,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000001
mol_185,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,-5.66
mol_186,c1ccnnc1,1.1
mol_187,Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63
mol_188,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.32
mol_189,Nc1ccccc1O,-0.72
mol_190,CCCCCCCCC(=O)OCC,-3.8
mol_191,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,-1.601
mol_192,CNC(=O)Oc1ccccc1OC(C)C,-2.05
mol_193,CCC(C)Cl,-1.96
mol_194,Oc1ccc2ccccc2c1,-2.28
mol_195,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,-5.696000000000001
mol_196,CCCCC#C,-2.36
mol_197,CCCCCCCC#C,-4.24
mol_198,Cc1ccccc1Cl,-3.52
mol_199,CC(C)OC(C)C,-1.1
mol_200,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094
mol_201,CNN,1.34
mol_202,CC#C,-0.41
mol_203,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862
mol_204,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408
mol_205,C=CC=O,0.57
mol_206,O=c1[nH]cnc2nc[nH]c12 ,-2.296
mol_207,Oc2ccc1ncccc1c2 ,-2.16
mol_208,Fc1ccccc1,-1.8
mol_209,CCCCl,-1.47
mol_210,CCOC(=O)C,-0.04
mol_211,CCCC(C)(C)C,-4.36
mol_212,Cc1cc(C)c(C)c(C)c1C,-4.0
mol_213,CC12CCC(CC1)C(C)(C)O2 ,-1.64
mol_214,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896
mol_215,Clc1ccc(cc1)c2ccc(Cl)cc2 ,-6.56
mol_216,Cc1cccnc1C,0.38
mol_217,CC(=C)C1CC=C(C)C(=O)C1,-2.06
mol_218,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736000000000001
mol_219,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,-3.571
mol_220,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804
mol_221,Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82
mol_222,c1c(Br)ccc2ccccc12 ,-4.4
mol_223,CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34
mol_224,COc2cnc1ncncc1n2,-1.139
mol_225,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,-3.19
mol_226,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,-3.658
mol_227,CC(=C)C=C,-2.03
mol_228,CC(C)=CCCC(O)(C)C=C,-1.99
mol_229,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57
mol_230,OC1CCCCC1,-0.44
mol_231,O=C1NC(=O)NC(=O)C1(C)CC=C,-1.16
mol_232,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,-4.16
mol_233,OCC(O)C(O)C(O)C(O)CO ,0.06
mol_234,Cc1ccc(cc1)c2ccccc2,-4.62
mol_235,CCNc1nc(Cl)nc(NC(C)C)n1,-3.85
mol_236,NC(=S)Nc1ccccc1,-1.77
mol_237,CCCC(=O)CCC,-1.3
mol_238,CC(=O)C(C)(C)C,-0.72
mol_239,Oc1ccc(Cl)cc1,-0.7
mol_240,O=C1CCCCC1,-0.6
mol_241,Cc1cccc(N)c1,-0.85
mol_242,ClC(Cl)(Cl)C#N,-2.168
mol_243,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.046
mol_244,CCCCCCCCC(=O)C,-3.3
mol_245,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785
mol_246,CCOC(=O)c1ccc(N)cc1,-2.616
mol_247,Clc1ccc(Cl)c(Cl)c1,-3.59
mol_248,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09
mol_249,Oc1ccccc1O,0.62
mol_250,CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,-2.62
mol_251,CSC,-0.45
mol_252,Cc1ccccc1Br,-2.23
mol_253,CCOC(=O)N,0.85
mol_254,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,-5.35
mol_255,CC(C)C(O)C(C)C,-1.22
mol_256,c1ccc2ccccc2c1,-3.6
mol_257,CCNc1ccccc1,-1.7
mol_258,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-4.097
mol_259,Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02
mol_260,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34
mol_261,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89
mol_262,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,-7.28
mol_263,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678
mol_264,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89
mol_265,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,-3.37
mol_266,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,-4.13
mol_267,CCCCBr,-2.37
mol_268,Brc1cc(Br)c(Br)cc1Br,-6.98
mol_269,CC(C)CC(=O)C,-0.74
mol_270,CCSC(=O)N(CC)C1CCCCC1 ,-3.4
mol_271,COc1ccc(Cl)cc1,-2.78
mol_272,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000000000001
mol_273,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016
mol_274,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04
mol_275,Ic1cccc2ccccc12,-4.55
mol_276,OCC(O)C(O)C(O)C(O)CO,1.09
mol_277,CCS,-0.6
mol_278,ClCC(Cl)Cl,-1.48
mol_279,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09
mol_280,NC(=O)c1ccccc1O,-1.82
mol_281,Cc1ccccc1N(=O)=O,-2.33
mol_282,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766
mol_283,CCc1ccccc1C,-3.21
mol_284,CCCCCCCCl,-4.0
mol_285,O=C1NC(=O)NC(=O)C1(CC)CC,-2.4
mol_286,C(Cc1ccccc1)c2ccccc2,-4.62
mol_287,ClC(Cl)C(Cl)Cl,-1.74
mol_288,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,-5.153
mol_289,Cc1ccc2c(ccc3ccccc32)c1,-5.84
mol_290,CCCCOC(=O)c1ccccc1C(=O)OCCCC ,-4.4
mol_291,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,-4.02
mol_292,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523
mol_293,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,-5.282
mol_294,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.5760000000000005
mol_295,COc1ccc(cc1)N(=O)=O,-2.41
mol_296,CCCCCCCl,-3.12
mol_297,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16
mol_298,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,-0.41
mol_299,CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334
mol_300,CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.324
mol_301,CC(Cl)Cl,-1.29
mol_302,Nc1ccc(cc1)S(N)(=O)=O,-1.34
mol_303,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,-6.49
mol_304,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64
mol_305,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194
mol_306,Clc1cccc(Cl)c1Cl,-4.0
mol_307,ClC(Cl)(Cl)Cl,-2.31
mol_308,O=N(=O)c1cc(Cl)c(Cl)cc1,-3.2
mol_309,OC1CCCCCCC1,-1.29
mol_310,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.999
mol_311,CCOc1ccc(NC(N)=O)cc1,-2.17
mol_312,C/C1CCC(\C)CC1,-4.47
mol_313,c1cnc2c(c1)ccc3ncccc23,-2.68
mol_314,COC(C)(C)C,-0.24
mol_315,COc1ccc(C=CC)cc1,-3.13
mol_316,CCCCCCCCCCCCCCCCO,-7.0
mol_317,O=c1cc[nH]c(=O)[nH]1 ,-1.4880000000000002
mol_318,Nc1ncnc2nc[nH]c12 ,-2.12
mol_319,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,-7.21
mol_320,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,-2.596
mol_321,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23
mol_322,O=C(Nc1ccccc1)Nc2ccccc2,-3.15
mol_323,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,-2.322
mol_324,Clc1ccc(cc1)c2cccc(Cl)c2Cl ,-6.29
mol_325,CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536
mol_326,CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716
mol_327,CCC(C)(C)CO,-1.04
mol_328,CCCOC(=O)CCC,-1.75
mol_329,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-3.22
mol_330,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2
mol_331,C1CCCCCC1,-3.51
mol_332,CCCOC=O,-0.49
mol_333,CC(C)c1ccccc1C,-3.76
mol_334,Nc1cccc(Cl)c1,-1.37
mol_335,CC(C)CC(C)C,-4.26
mol_336,o1c2ccccc2c3ccccc13,-4.6
mol_337,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42
mol_338,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43
mol_339,c3ccc2nc1ccccc1cc2c3,-3.67
mol_340,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.11
mol_341,OCC1OC(O)C(O)C(O)C1O,0.74
mol_342,Cc1cccc(O)c1,-0.68
mol_343,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,-3.5860000000000003
mol_344,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,-6.005
mol_345,O=N(=O)c1ccc(cc1)N(=O)=O,-3.39
mol_346,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696
mol_347,CCCCCCCCCC(=O)OCC,-4.1
mol_348,CN(C)C(=O)Nc1ccccc1,-1.6
mol_349,CCCOCC,-0.66
mol_350,CC(C)O,0.43
mol_351,Cc1ccc2ccccc2c1,-3.77
mol_352,ClC(Br)Br,-1.9
mol_353,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.43
mol_354,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37
mol_355,ClCc1ccccc1,-2.39
mol_356,C/C=C/C=O,0.32
mol_357,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924
mol_358,Cc1c2ccccc2c(C)c3ccccc13,-6.57
mol_359,CCCCCC(=O)OC,-1.87
mol_360,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328
mol_361,CC(=O)Nc1ccc(F)cc1,-1.78
mol_362,CCc1cccc(CC)c1N(COC)C(=O)CCl ,-3.26
mol_363,C1CCC=CC1,-2.59
mol_364,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.09
mol_365,c1cncnc1,1.1
mol_366,Clc1ccc(cc1)N(=O)=O,-2.92
mol_367,CCC(=O)OC,-0.14
mol_368,Clc1ccccc1N(=O)=O,-2.55
mol_369,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77
mol_370,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877
mol_371,O=N(=O)c1ccccc1,-1.8
mol_372,Ic1ccccc1,-3.01
mol_373,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,-3.78
mol_374,COc1ccccc1OCC(O)COC(N)=O,-0.985
mol_375,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,-4.19
mol_376,Oc1cccc(Cl)c1Cl,-1.3
mol_377,CCCC(=O)OC,-1.92
mol_378,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0
mol_379,Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,-2.404
mol_380,CCCCCC(=O)OCC,-2.35
mol_381,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,-1.84
mol_382,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47
mol_383,COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478
mol_384,CCCCCCC=C,-4.44
mol_385,Cc1ccc(N)cc1,-1.21
mol_386,Nc1nccs1 ,-0.36
mol_387,c1ccccc1(OC(=O)NC),-1.803
mol_388,CCCC(O)CC,-0.8
mol_389,c3ccc2c(O)c1ccccc1cc2c3 ,-4.73
mol_390,Cc1ccc2cc3ccccc3cc2c1,-6.96
mol_391,Cc1cccc(C)c1C,-3.2
mol_392,CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36
mol_393,CCCCCCCC(C)O,-2.74
mol_394,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-3.35
mol_395,CCCC(=O)CC,-0.83
mol_396,Oc1c(Br)cc(C#N)cc1Br ,-3.33
mol_397,Clc1ccc(cc1Cl)c2ccccc2 ,-6.39
mol_398,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,-4.873
mol_399,Oc1cccc2ncccc12 ,-2.54
mol_400,CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.14
mol_401,CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,-3.81
mol_402,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28
mol_403,ClCBr,-0.89
mol_404,CCC1(CC)C(=O)NC(=O)N(C)C1=O ,-2.23
mol_405,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-4.63
mol_406,NC(=O)NCc1ccccc1 ,-0.95
mol_407,CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.483
mol_408,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592
mol_409,OC1CCCCCC1,-0.88
mol_410,CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl ,-2.154
mol_411,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O ,-3.36
mol_412,CC(=O)Nc1nnc(s1)S(N)(=O)=O ,-2.36
mol_413,Oc1ccc(cc1)N(=O)=O,-0.74
mol_414,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.307
mol_415,C1CCOC1,0.49
mol_416,Nc1ccccc1N(=O)=O,-1.96
