id,language,problem_id,code
s875904659,Python,unknown,"def bubbleSort(cards):
    n = len(cards)
    for i in range(0, n):
        for j in range(n-1, i, -1):
            if int(cards[j][1]) < int(cards[j-1][1]):
                cards[j], cards[j-1] = cards[j-1], cards[j]

    print("" "".join(map(str, cards)))


def selectionSort(cards):
    n = len(cards)
    for i in range(0, n):
        mini = i
        for j in range(i, n):
            if int(cards[j][1]) < int(cards[mini][1]):
                mini = j
        if mini != i:
            cards[i], cards[mini] = cards[mini], cards[i]

    print("" "".join(map(str, cards)))


n = int(input())
cards = input().split("" "")
cards2 = list(cards)
bubbleSort(cards)
print(""Stable"")
selectionSort(cards2)
if "" "".join(map(str, cards2)) == "" "".join(map(str, cards)):
    print(""Stable"")
else:
    print(""Not stable"")
"
s706119740,Python,unknown,"candy = sorted(map(int, input().split()))
print(""Yes"" if candy[0]+candy[1] == candy[2] else ""No"")
"
s636592395,Python,unknown,"N = int(input())
A = list(map(int, input().split()))


def main():
    A.sort()
    ans = A[-1] - A[0]
    print(ans)


if __name__ == ""__main__"":
    main()
"
s137613418,Python,unknown,"import sys
import math

from collections import defaultdict
from collections import deque


def load(vtype=int):
    return vtype(input().strip())


def load_list(seplator="" "", vtype=int):
    return [vtype(v) for v in input().strip().split(seplator)]


def exit():
    import sys
    sys.exit(0)


def perm_sub(li, used):
    if len(li) == len(used):
        return [deque()]
    k = []
    for i in range(len(li)):
        if i in used:
            continue
        used.add(i)
        sub_list = perm_sub(li, used)
        for sub in sub_list:
            sub.appendleft(li[i])
        k.extend(sub_list)
        used.discard(i)
    return k


def perm_li(li):
    return perm_sub(li, set())


def perm_n(n):
    return perm_sub(list(range(n)), set())


def join_i(li, sep=""""):
    return sep.join([str(e) for e in li])


def li2n(li):
    n, base = 0, 1
    for i in range(len(li)-1, -1, -1):
        n += li[i] * base
        base *= 10
    return n


def sli2ili(li):
    return [int(s) for s in li]


def prime_list(n):
    li = [i for i in range(2, n+1)]
    for i in range(len(li)):
        if li[i] >= int(math.sqrt(n)):
            break
        if li[i] == -1:
            continue
        for j in range(i+1, len(li)):
            if li[j] % li[i] == 0:
                li[j] = -1
    return [n for n in li if n != -1]


def gcd(a, b):
    a, b = max(a, b), min(a, b)
    while True:
        r = a % b
        if r == 0:
            return b
        a, b = b, r


def lcm(a, b):
    return int(a * b / gcd(a, b))


def all_subset(li):
    s = []
    n = len(li)
    for bit in range(0, (1 << (n+1))):
        ss = set()
        for i in range(0, n):
            if (bit & (1 << i)):
                ss.add(li[i])
        s.append(ss)
    return s


def factorial(n):
    if n == 1:
        return 1
    return n * factorial(n-1)


def mCn(m, n):
    def factorial_ntimes(m, n):
        r = 1
        while n:
            r *= m
            m -= 1
            n -= 1
        return r
    return int(factorial_ntimes(m, n) / factorial(n))


n = load()
A = load_list()

if n == len(set(A)):
    print('YES')
else:
    print('NO')
"
s028530838,Python,unknown,"x = input()
if x.islower():
    print(""a"")
else:
    print(""A"")
"
s273727373,Python,unknown,"N = int(input())
A = list(map(int, input().split()))
B = list(A)
count = 1
for i in A:
    B[i-1] = count
    count += 1


print(*B)
"
s404600540,Python,unknown,"def main():
    q, h, s, d = map(int, input().split())
    n = int(input())
    min_1 = min(q*4, h*2, q*2+h, s)
    min_2 = min(min_1*2, d)

    print((n % 2)*min_1 + (n // 2)*min_2)


if __name__ == '__main__':
    main()
"
s922746568,Python,unknown,"n = int(input())
s = input()

r_cnt = s.count('R')
g_cnt = s.count('G')
b_cnt = s.count('B')

ans = r_cnt * g_cnt * b_cnt

for i in range(n):
    for d in range(n):
        j = i + d
        k = j + d
        if k >= n:
            break

        if s[i] != s[j] and s[j] != s[k] and s[k] != s[i]:

            ans -= 1
print(ans)
"
s267172486,Python,unknown,"h, a = map(int, input().strip().split())

ans = h // a
ama = h % a

if ama != 0:
    ans += 1
print(ans)
"
s616346400,Python,unknown,"def atc_079a(input_value: str) -> str:
    n = 3
    for i in range(0, len(input_value) + 1 - n):
        for j in range(1, n):
            if input_value[i] != input_value[i + j]:
                break
            if j == n - 1:
                return ""Yes""
    return ""No""


input_value = input()
print(atc_079a(input_value))
"
s430322735,Python,unknown,"n = int(input())
lst = []
pair = 0
for i in range(n):
    st = ''.join(sorted(list(input())))
    lst.append(st)
lst = sorted(lst)
lst += ['end']
pre = ''
tmp_cnt = 0
cnt = 0
for i in lst:
    if i == pre:
        tmp_cnt += 1
    else:
        cnt += sum([j for j in range(tmp_cnt + 1)])
        tmp_cnt = 0
    pre = i
print(cnt)
"
s761121328,Python,unknown,"N = int(input())
A = list(map(int, input().split()))
s = A[0] ^ A[1]
for i in range(2, N):
    s = s ^ A[i]

B = [0]*N
for i in range(N):
    B[i] = s ^ A[i]

L = [str(a) for a in B]
L = "" "".join(L)
print(L)
"
s031917494,Python,unknown,"print('Christmas'+' Eve'*abs(int(input())-25))
"
s952264435,Python,unknown,"N, M = map(int, input().split())
A = map(int, input().split())
A_sum = sum(A)

print(N - A_sum if N - A_sum >= 0 else ""-1"")
"
s986062252,Python,unknown,"from sys import stdin
def il(func=int): return list(map(func, stdin.readline().rstrip().split()))


ils = lambda n, s=""int(input())"": [eval(s) for _ in range(n)]


def gcd(a, b):
    if a < b:
        return gcd(b, a)
    if b == 0:
        return a
    return gcd(b, a % b)


def lcm(a, b):
    return a * b // gcd(a, b)


n, m = il()
s = input()
t = input()
aa = gcd(n, m)
bb = lcm(n, m)
cc = aa // bb
for i in range(aa):
    if s[n//aa*i] != t[m//aa*i]:
        print(-1)
        exit()
print(bb)
"
s923405856,Python,unknown,"while True:
    n = int(input())

    if n == 0:
        break

    res = -1111111111
    s = 0
    for i in range(n):
        a = int(input())
        s = max(s + a, a)
        res = max(s, res)

    print(res)
"
s534639230,Python,unknown,"from collections import Counter


def solve():
    N = int(input())
    D = list(map(int, input().split()))

    mod = 998244353

    if D[0] != 0:
        print(0)
        return

    cnt = Counter(D)

    if cnt[0] > 1:
        print(0)
        return

    res = 1

    for i in range(1, max(D)+1):
        if cnt[i-1] == 1:
            continue
        res *= cnt[i-1]**cnt[i] % mod
        res %= mod

    print(res)


solve()
"
s817205687,Python,unknown,"from functools import reduce
import math


def lcm(x, y):
    return (x * y) // math.gcd(x, y)


def lcm_list(numbers):
    return reduce(lcm, numbers, 1)


N, M = map(int, input().split())
A = list(map(int, input().split()))


A = [a // 2 for a in A]


count_div_2 = None
for a in A:
    cnt = 0
    while a % 2 == 0:
        a //= 2
        cnt += 1

    if count_div_2 is None:
        count_div_2 = cnt

    elif cnt != count_div_2:
        print(0)
        exit()


my_lcm = lcm_list(A)
if my_lcm > M:
    print(0)
    exit()

tmp = M // my_lcm


ans = (tmp + 1) // 2
print(ans)
"
s287369394,Python,unknown,"N = int(input())
A = [int(x) for x in input().split()]
B = [int(x) for x in input().split()]

ans = 0
for i in range(N):
    d = min(A[i], B[i])
    ans += d
    A[i] -= d
    B[i] -= d
    d = min(A[i + 1], B[i])
    ans += d
    A[i + 1] -= d
    B[i] -= d

print(ans)
"
s058944700,Python,unknown,"import numpy as np

n, k = map(int, input().split())

if n > k:
    tmp = n % k
    if tmp >= k - tmp:
        ans = k - tmp
    else:
        ans = tmp
elif n < k:
    if n >= k - n:
        ans = k - n
    else:
        ans = n
else:
    ans = 0

print(ans)
"
s185068963,Python,unknown,"a, b, c = map(int, input().split())
print(""Yes"" if a + b >= c else ""No"")
"
s764169243,Python,unknown,"import sys
input = sys.stdin.buffer.readline


def main():

    class SegmentTree:

        def __init__(self, size, default):
            self.size = 2**(size-1).bit_length()
            self.default = default
            self.seg = [default]*(2*self.size-1)

        def segfunc(self, x, y):
            return max(x, y)

        def update(self, k, x):
            k += self.size-1
            self.seg[k] = x
            while k:
                k = (k-1)//2
                self.seg[k] = self.segfunc(self.seg[2*k+1], self.seg[2*k+2])

        def query(self, p, q):
            if q <= p:
                return self.default
            p += self.size-1
            q += self.size-2
            ret = self.default
            while q-p > 1:
                if p & 1 == 0:
                    ret = self.segfunc(ret, self.seg[p])
                if q & 1 == 1:
                    ret = self.segfunc(ret, self.seg[q])
                    q -= 1
                p = p//2
                q = (q-1)//2
            ret = self.segfunc(self.segfunc(ret, self.seg[p]), self.seg[q])
            return ret

        def seg_print(self):
            print(self.seg)

    N = int(input())
    a = list(map(int, input().split()))
    ans = [i+1 for i in range(N)]
    left_seg = SegmentTree(N, 0)
    for i, num in enumerate(a):
        ans[num-1] *= i + 1 - left_seg.query(0, num)
        left_seg.update(num-1, i+1)
    right_seg = SegmentTree(N, 0)
    for i, num in enumerate(a[::-1]):
        ans[num-1] *= i + 1 - right_seg.query(0, num)
        right_seg.update(num-1, i+1)

    print(sum(ans))


if __name__ == ""__main__"":
    main()
"
s768331281,Python,unknown,"N, L = map(int, input().split())
S = [input().rstrip() for _ in range(N)]
print(''.join(sorted(S)))
"
s993625131,Python,unknown,"S = list(input())

count = 0
record = 0
for i in range(len(S)):
    if S[i] == ""A"" or S[i] == ""C"" or S[i] == ""G"" or S[i] == ""T"":
        count += 1
    else:
        if count > record:
            record = count
        count = 0
if count > record:
    record = count

print(record)
"
s315467749,Python,unknown,"n = int(input())
S = list(map(int, input().split()))
q = int(input())
T = list(map(int, input().split()))

ans = 0
for i in T:
    if i == S[-1] or i == S[0]:
        ans += 1
    else:
        left = 0
        right = n-1
        while right-left > 1:
            mid = (left+right)//2
            if S[mid] == i:
                ans += 1
                break
            elif S[mid] < i:
                left = mid
            else:
                right = mid

print(ans)
"
s060838372,Python,unknown,"N, K = map(int, input().split())
S = list(input())
if S[K-1] == ""A"":
    S[K-1] = ""a""
elif S[K-1] == ""B"":
    S[K-1] = ""b""
else:
    S[K-1] = ""c""
ans = """".join(S)
print(ans)
"
s695100304,Python,unknown,"n = int(input())
x = list(map(int, input().split()))
x.reverse()
print(*x)
"
s831456551,Python,unknown,"A, B = map(int, input().split())
print(A*B)
"
s951065247,Python,unknown,"N, A, B, C = map(int, input().split())
l = [int(input()) for i in range(N)]


def dfs(cur, a, b, c):
    if cur == N:
        return abs(A - a) + abs(B - b) + abs(C - c) - 30 if min(a, b, c) > 0 else 10 ** 9
    no_add = dfs(cur + 1, a, b, c)
    add_a = dfs(cur + 1, a + l[cur], b, c) + 10
    add_b = dfs(cur + 1, a, b + l[cur], c) + 10
    add_c = dfs(cur + 1, a, b, c + l[cur]) + 10

    return min(no_add, add_a, add_b, add_c)


print(dfs(0, 0, 0, 0))
"
s542358243,Python,unknown,"N = int(input())

if N % 9 == 0:
    print('Yes')
else:
    print('No')
"
s031459110,Python,unknown,"N = int(input())
c = input()

num_w = c.count(""W"")
num_r = N - num_w

comp = ""R""*num_r + ""W""*num_w
ans = 0
for i in range(num_r):
    if c[i] != comp[i]:
        ans += 1

ans = min(num_w, num_r, ans)
print(ans)
"
s681105182,Python,unknown,"import sys
sys.setrecursionlimit(10**7)
def LI(): return [int(x) for x in sys.stdin.readline().split()]
def LI_(): return [int(x) - 1 for x in sys.stdin.readline().split()]
def LF(): return [float(x) for x in sys.stdin.readline().split()]
def LS(): return sys.stdin.readline().split()
def II(): return int(sys.stdin.readline())
def SI(): return sys.stdin.readline().strip()


INF = 10 ** 18
MOD = 10 ** 9 + 7


def main():
    N = II()
    a_li = LI()

    a_li.sort()

    n = a_li[-1]

    dif = INF
    prev_dif = dif
    for a in a_li[:-1]:
        dif = min(abs(n/2 - a), dif)
        if dif != prev_dif:
            r = a
            prev_dif = dif

    print(n, r)


main()
"
s838619850,Python,unknown,"S = input()
T = input()

N = len(S)
M = len(T)
ans = M
for i in range(N-M+1):
    S_2 = S[i:i+M]
    cnt = 0
    for j in range(M):
        if T[j] != S_2[j]:
            cnt += 1
    ans = min(ans, cnt)

print(ans)
"
s087080706,Python,unknown,"from bisect import bisect
n, m, x = (int(i) for i in input().split())
a = [int(i) for i in input().split()]
ans = 0
i = bisect(a, x)
print(min(len(a[:i]), len(a[i:])))
"
s733189960,Python,unknown,"def main():
    n = int(input())
    sdic = {}
    for _ in range(n):
        s = [_s for _s in sorted(input().strip())]
        s = ''.join(s)
        if s in sdic:
            sdic[s] += 1
        else:
            sdic[s] = 1
    ans = 0
    for k, v in sdic.items():
        ans += v*(v-1)//2
    print(ans)


if __name__ == '__main__':
    main()
"
s855969677,Python,unknown,"s = input()

if s == 'RRR':
    print(3)
elif s == 'SSS':
    print(0)
elif s == 'RRS' or s == 'SRR':
    print(2)
else:
    print(1)
"
s238775098,Python,unknown,"n = int(input())
res = 0
for _ in range(n):
    x, u = list(input().split())
    if u == ""BTC"":
        res += float(x) * 380000
    else:
        res += int(x)
print(res)
"
s101447419,Python,unknown,"import collections


def main():
    n = int(input())
    v = list(map(int, input().split()))
    ve = []
    vo = []
    for i in range(n//2):
        ve.append(v[2*i])
        vo.append(v[2*i+1])
    ce = collections.Counter(ve)
    co = collections.Counter(vo)
    ans = n
    if ce.most_common()[0][0] != co.most_common()[0][0]:
        ans = n-ce.most_common()[0][1]-co.most_common()[0][1]
    elif len(ce) == 1 and len(co) == 1:
        ans = n-ce.most_common()[0][1]
    elif len(ce) == 1:
        ans = n-ce.most_common()[0][1]-co.most_common()[1][1]
    elif len(co) == 1:
        ans = n-ce.most_common()[1][1]-co.most_common()[0][1]
    else:
        ans = min(n-ce.most_common()[0][1]-co.most_common()[1]
                  [1], n-ce.most_common()[1][1]-co.most_common()[0][1])
    print(ans)


if __name__ == ""__main__"":
    main()
"
s060251920,Python,unknown,"def main():
    a, b = map(int, input().split())
    print(a*b)


main()
"
s960572618,Python,unknown,"a, b, c = input().strip().split()

if a == b and b == c:
    print(""Yes"")
else:
    print(""No"")
"
s091400419,Python,unknown,"a, b = map(int, input().split())
lst = [a+b, a-b, a*b]
print(max(lst))
"
s764356857,Python,unknown,"A, B = map(int, input().split())

min = B * 10
max = (B+1) * 10 - 1

ans = -1
for i in range(min, max+1):
    if int(i * 0.08) == A:
        ans = i
        break

print(ans)
"
s280552889,Python,unknown,"N = int(input())
if N % 2 == 0:
    print(N//2)
else:
    print(N//2+1)
"
s827462150,Python,unknown,"import numpy as np
n = int(input())
A = np.zeros(n)

x, y, z = 1, 1, 1

while x**2 + y**2 + z**2 + x*y + y*z + z*x <= n:
    while x ** 2 + y ** 2 + z ** 2 + x * y + y * z + z * x <= n:
        while x ** 2 + y ** 2 + z ** 2 + x * y + y * z + z * x <= n:
            i = x ** 2 + y ** 2 + z ** 2 + x * y + y * z + z * x
            A[i - 1] += 1
            z += 1
        z = 1
        y += 1
    y, z = 1, 1
    x += 1
for i in range(n):
    print(int(A[i]))
"
s225521100,Python,unknown,"N, K = map(int, input().split())
A = []

for i in range(N):
    A.append(0)

for i in range(K):
    d = int(input())
    AA = list(map(int, input().split()))
    for j in range(d):
        A[AA[j] - 1] = 1

n = 0
for i in range(N):
    if A[i] == 0:
        n += 1
print(n)
"
s683277023,Python,unknown,"n, k = map(int, input().split())
li = list(map(int, input().split()))
li.sort()
tmp = li[:k]
print(sum(tmp))
"
s208095748,Python,unknown,"A, B, C = map(int, input().split())
if B < C:
    print(0)
elif A * C < B:
    print(C)
else:
    print(B//A)
"
s500828884,Python,unknown,"n, a, b = map(int, input().split())
print(min(n * a, b))
"
s975943078,Python,unknown,"import sys
from bisect import bisect_left


def solve():
    input = sys.stdin.readline
    N, K = map(int, input().split())
    A = [(int(a) % K) - 1 for a in input().split()]
    sum_A = [0 for _ in range(N + 1)]

    count = 0
    modK = dict()
    modK[0] = [0]
    for i in range(N):
        sum_A[i + 1] = (sum_A[i] + A[i]) % K
        if sum_A[i+1] not in modK:
            modK[sum_A[i+1]] = [i + 1]
        else:
            modK[sum_A[i+1]].append(i+1)

    for key in modK:
        lenK = len(modK[key])
        for i, a in enumerate(modK[key]):
            count += bisect_left(modK[key], a + K, i, lenK) - i - 1

    print(count)
    return 0


if __name__ == ""__main__"":
    solve()
"
